timestamp,close_DOGE,close_BTC,spread_log
2024-01-01T00:00:00.000,0.08958,42298.61,-13.065132702177339
2024-01-01T00:01:00.000,0.08963,42320.0,-13.065080260145047
2024-01-01T00:02:00.000,0.08961,42325.5,-13.065433378366652
2024-01-01T00:03:00.000,0.08973,42367.99,-13.065098520941632
2024-01-01T00:04:00.000,0.08978,42397.23,-13.065231354525611
2024-01-01T00:05:00.000,0.0898,42409.2,-13.065290902489107
2024-01-01T00:06:00.000,0.08981,42423.95,-13.065527291537387
2024-01-01T00:07:00.000,0.08981,42414.45,-13.065303336346348
2024-01-01T00:08:00.000,0.08984,42420.07,-13.065101846834278
2024-01-01T00:09:00.000,0.08983,42409.96,-13.064974803035433
2024-01-01T00:10:00.000,0.08987,42440.05,-13.065238868172916
2024-01-01T00:11:00.000,0.08987,42479.32,-13.066163745566598
2024-01-01T00:12:00.000,0.08979,42462.24,-13.066652157849763
2024-01-01T00:13:00.000,0.08978,42480.15,-13.067185232611383
2024-01-01T00:14:00.000,0.08978,42488.0,-13.067370007730585
2024-01-01T00:15:00.000,0.08978,42510.0,-13.067887666981186
2024-01-01T00:16:00.000,0.08984,42541.27,-13.067954911115367
2024-01-01T00:17:00.000,0.08978,42503.36,-13.067731456239404
2024-01-01T00:18:00.000,0.08977,42474.03,-13.067152544529986
2024-01-01T00:19:00.000,0.08973,42458.85,-13.067240768247983
2024-01-01T00:20:00.000,0.08974,42459.31,-13.067140162970716
2024-01-01T00:21:00.000,0.0897,42446.0,-13.067272468712973
2024-01-01T00:22:00.000,0.08972,42461.09,-13.067404975477848
2024-01-01T00:23:00.000,0.08982,42468.18,-13.066457979932474
2024-01-01T00:24:00.000,0.08987,42473.93,-13.066036852245688
2024-01-01T00:25:00.000,0.08993,42499.99,-13.065982808674075
2024-01-01T00:26:00.000,0.08989,42463.63,-13.065571802227804
2024-01-01T00:27:00.000,0.08976,42436.0,-13.066368174786913
2024-01-01T00:28:00.000,0.08974,42420.41,-13.066223571758506
2024-01-01T00:29:00.000,0.08983,42419.73,-13.065205146917233
2024-01-01T00:30:00.000,0.08985,42391.51,-13.064317051073687
2024-01-01T00:31:00.000,0.08983,42381.99,-13.064315070572281
2024-01-01T00:32:00.000,0.0898,42373.11,-13.064439545592133
2024-01-01T00:33:00.000,0.08986,42373.82,-13.063788373027482
2024-01-01T00:34:00.000,0.08986,42362.93,-13.063531341690783
2024-01-01T00:35:00.000,0.08986,42359.68,-13.063454620730425
2024-01-01T00:36:00.000,0.08991,42379.8,-13.063373221589437
